ID	name	source	formula	mass	charge	xrefs
MNXM1101949	Tetradecanedioyl Coenzyme A	M_c14dccoa_x	C35H55N7O19P3S	1002.834263	-5	biggM:c14dccoa;bigg.metabolite:c14dccoa;biggM:M_c14dccoa
MNXM1101951	(2E)-Heptadecenoyl Coenzyme A	M_M00046_m	C38H62N7O17P3S	1013.923143	-4	biggM:M00046;bigg.metabolite:M00046;biggM:M_M00046
MNXM1101953	3-Hydroxynonanoyl Coenzyme A	M_M00792_m	C30H48N7O18P3S	919.725783	-4	biggM:M00792;bigg.metabolite:M00792;biggM:M_M00792
MNXM1101955	D-galactosamine	M_gam_c;M_gam_e	C6H14NO5	180.1791	1	chebi:144817;CHEBI:144817;CHEBI:60312;bigg.metabolite:gam;biggM:M_gam;biggM:gam;chebi:60312;kegg.compound:C02262;keggC:C02262;keggC:M_C02262;sabiork.compound:1590;sabiorkM:1590;seed.compound:cpd01524;seedM:M_cpd01524;seedM:cpd01524
MNXM1101956	D-glucosamine	M_galam_c;M_galam_e	C6H14NO5	180.1791	1	chebi:58723;CHEBI:47977;CHEBI:58723;bigg.metabolite:galam;biggM:M_galam;biggM:galam;chebi:4162;chebi:47972;chebi:47977;hmdb:HMDB0001514;hmdb:HMDB0006479;hmdb:HMDB0015410;hmdb:HMDB01514;hmdb:HMDB06479;hmdb:HMDB15410;kegg.compound:C00329;kegg.drug:D04334;keggC:C00329;keggC:M_C00329;keggD:D04334;keggD:M_D04334;metacyc.compound:GLUCOSAMINE;metacycM:GLUCOSAMINE;sabiork.compound:1592;sabiorkM:1592;seed.compound:cpd00276;seed.compound:cpd27103;seedM:M_cpd00276;seedM:M_cpd27103;seedM:cpd00276;seedM:cpd27103
MNXM1101959	3-Hydroxyheptanoyl Coenzyme A	M_M00782_m	C28H44N7O18P3S	891.672623	-4	biggM:M00782;bigg.metabolite:M00782;biggM:M_M00782
MNXM1101961	3-Hydroxyundecanoyl Coenzyme A	M_M00806_m	C32H52N7O18P3S	947.778943	-4	biggM:M00806;bigg.metabolite:M00806;biggM:M_M00806
MNXM1101973	Trans,Cis-Hexadeca-2,7-Dienoyl Coenzyme A	M_M03019_m;M_M03019_x	C37H58N7O17P3S	997.880683	-4	biggM:M03019;bigg.metabolite:M03019;biggM:M_M03019
MNXM1101975	(S)-3-Hydroxyoleyleoyl Coenzyme A	M_HC10857_m;M_HC10857_x	C39H64N7O18P3S	1043.949123	-4	biggM:HC10857;bigg.metabolite:HC10857;biggM:M_HC10857
MNXM1101977	5-Methylthioadenosine	M_5mta_c;M_5mta_e	C11H15N5O3S	297.3347	0	biggM:5mta;bigg.metabolite:5mta;biggM:M_5mta
MNXM1101987	3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA	M_CE4844_c	C43H68N7O18P3S	1096.023683	-4	biggM:CE4844;bigg.metabolite:CE4844;biggM:M_CE4844
MNXM1101989	3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	M_CE4849_c	C45H70N7O18P3S	1122.060963	-4	biggM:CE4849;bigg.metabolite:CE4849;biggM:M_CE4849
MNXM1101993	3-Oxo-(2S)-Methylisocapryloyl Coenzyme A	M_CE4796_m	C30H46N7O18P3S	917.709903	-4	biggM:CE4796;bigg.metabolite:CE4796;biggM:M_CE4796
MNXM1101995	3-Oxo-7-Hexadecenoyl Coenzyme A	M_M00849_m;M_M00849_x	C37H58N7O18P3S	1013.880083	-4	biggM:M00849;bigg.metabolite:M00849;biggM:M_M00849
MNXM1101997	3-Oxooleoyl Coenzyme A	M_HC10858_m;M_HC10858_x	C39H62N7O18P3S	1041.933243	-4	biggM:HC10858;bigg.metabolite:HC10858;biggM:M_HC10858
MNXM1101999	3-Oxo-4(R),8-Dimethyl-Nonanoyl Coenzyme A	M_CE4803_m	C32H50N7O18P3S	945.763063	-4	biggM:CE4803;bigg.metabolite:CE4803;biggM:M_CE4803
MNXM1102001	3-Oxo-4-Methyl-Pentanoyl Coenzyme A	M_CE4804_m	C27H40N7O18P3S	875.630163	-4	biggM:CE4804;bigg.metabolite:CE4804;biggM:M_CE4804
MNXM1102010	Cis,cis,cis-10,13,16-docosatrienoyl-CoA	M_CE4847_c;M_CE4847_m	C43H68N7O17P3S	1080.024283	-4	biggM:CE4847;bigg.metabolite:CE4847;biggM:M_CE4847
MNXM1102056	D-alanine	M_ala__D_c;M_ala__D_e;M_ala__D_x	C3H7NO2	89.09322	0	chebi:57416;CHEBI:15570;CHEBI:32435;CHEBI:32436;CHEBI:57416;CHEBI:76050;bigg.metabolite:ala__D;biggM:M_ala__D;biggM:ala-D;biggM:ala__D;chebi:10840;chebi:12899;chebi:15570;chebi:20893;chebi:32435;chebi:32436;chebi:4087;chebi:41756;chebi:41798;chebi:41848;chebi:41877;chebi:76050;hmdb:HMDB0001310;hmdb:HMDB01310;kegg.compound:C00133;keggC:C00133;keggC:M_C00133;metacyc.compound:D-ALANINE;metacycM:D-ALANINE;reactome:R-ALL-376188;reactome:R-ALL-376189;reactomeM:R-ALL-376188;reactomeM:R-ALL-376189;sabiork.compound:1940;sabiorkM:1940;seed.compound:cpd00117;seedM:M_cpd00117;seedM:cpd00117
MNXM1102057	L-alanine	M_ala__L_c;M_ala__L_e;M_ala__L_m;M_ala__L_x	C3H7NO2	89.09322	0	chebi:57972;CHEBI:16977;CHEBI:32431;CHEBI:32432;CHEBI:57972;bigg.metabolite:ala__L;biggM:M_ala__L;biggM:ala-L;biggM:ala__L;chebi:13069;chebi:16977;chebi:21216;chebi:32431;chebi:32432;chebi:40734;chebi:40735;chebi:46308;chebi:6171;envipath:650babc9-9d68-4b73-9332-11972ca26f7b/compound/1aad160f-1c5e-48e0-9473-6305321b31ed;envipathM:650babc9-9d68-4b73-9332-11972ca26f7b/compound/1aad160f-1c5e-48e0-9473-6305321b31ed;hmdb:HMDB0000161;hmdb:HMDB00161;kegg.compound:C00041;kegg.drug:D00012;keggC:C00041;keggC:M_C00041;keggD:D00012;keggD:M_D00012;metacyc.compound:L-ALPHA-ALANINE;metacycM:L-ALPHA-ALANINE;reactome:R-ALL-29432;reactome:R-ALL-352036;reactome:R-ALL-379697;reactome:R-ALL-389664;reactomeM:R-ALL-29432;reactomeM:R-ALL-352036;reactomeM:R-ALL-379697;reactomeM:R-ALL-389664;sabiork.compound:67;sabiorkM:67;seed.compound:cpd00035;seedM:M_cpd00035;seedM:cpd00035
MNXM1102062	Torasemide-M1	M_tmdm1_c;M_tmdm1_e;M_tmdm1_r	C16H19N4O4S	363.41262	-1	biggM:tmdm1;bigg.metabolite:tmdm1;biggM:M_tmdm1
MNXM1102066	Galactosyl glucosyl ceramide	M_galgluside_hs_c;M_galgluside_hs_e;M_galgluside_hs_g;M_galgluside_hs_l;M_galgluside_hs_r	C48H93NO8	812.25396	0	biggM:galgluside_hs;bigg.metabolite:galgluside_hs;biggM:M_galgluside_hs
MNXM1102070	O-malonyl-L-carnitine	M_HC10859_c;M_HC10859_m;M_HC10859_x	C10H16NO6	246.23718	-1	chebi:85470;CHEBI:85470;bigg.metabolite:HC10859;biggM:HC10859;biggM:M_HC10859
MNXM1102071	O-malonyl-D-carnitine	M_c3dc_c;M_c3dc_e	C10H16NO6	246.23718	-1	chebi:86047;CHEBI:86047;bigg.metabolite:c3dc;biggM:M_c3dc;biggM:c3dc;hmdb:HMDB0002095;hmdb:HMDB0062592;hmdb:HMDB02095;hmdb:HMDB62592;lipidmaps:LMFA07070080;lipidmapsM:LMFA07070080
MNXM1102072	S-Adenosyl-L-methionine	M_amet_c;M_amet_e;M_amet_m;M_amet_r	C15H23N6O5S	399.44656	1	biggM:amet;bigg.metabolite:amet;biggM:M_amet
MNXM1102084	Trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA	M_CE4852_c	C43H64N7O17P3S	1075.992523	-4	biggM:CE4852;bigg.metabolite:CE4852;biggM:M_CE4852
MNXM1102086	Trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA	M_CE4853_c	C45H68N7O17P3S	1104.045683	-4	biggM:CE4853;bigg.metabolite:CE4853;biggM:M_CE4853
MNXM1102090	3-hydroxydocosanoyl-CoA (4-)	M_CE2246_c;M_CE2246_m;M_CE2246_x;M_M00860_c	C43H74N7O18P3S	1102.071323	-4	biggM:CE2246;bigg.metabolite:CE2246;bigg.metabolite:M00860;biggM:M00860;biggM:M_CE2246;biggM:M_M00860
MNXM1102093	3,3',5'-triiodo-L-thyronine	M_HC02187_c;M_HC02187_e	C15H12I3NO4	650.97353	0	chebi:57261;CHEBI:11684;CHEBI:57261;bigg.metabolite:CE2754;bigg.metabolite:HC02187;biggM:CE2754;biggM:HC02187;biggM:M_CE2754;biggM:M_HC02187;chebi:11684;kegg.compound:C07639;keggC:C07639;keggC:M_C07639;metacyc.compound:CPD-10813;metacycM:CPD-10813;seed.compound:cpd19082;seedM:M_cpd19082;seedM:cpd19082
MNXM1102094	all-trans-retinol	M_retinol_c;M_retinol_e;M_retinol_r	C20H30O	286.4516	0	chebi:17336;CHEBI:17336;SLM:000000511;bigg.metabolite:retinol;biggM:M_retinol;biggM:retinol;chebi:12783;chebi:22349;chebi:8816;kegg.compound:C00473;kegg.compound:C17276;kegg.drug:D06543;keggC:C00473;keggC:C17276;keggC:M_C00473;keggC:M_C17276;keggD:D06543;keggD:M_D06543;lipidmaps:LMPR01090001;lipidmapsM:LMPR01090001;metacyc.compound:CPD-13524;metacycM:CPD-13524;reactome:R-ALL-2395761;reactome:R-ALL-2473604;reactome:R-ALL-2473607;reactome:R-ALL-2473610;reactome:R-ALL-2473615;reactome:R-ALL-2473616;reactome:R-ALL-2473617;reactome:R-ALL-30209;reactome:R-ALL-5623649;reactome:R-ALL-975590;reactome:R-ALL-975599;reactomeM:R-ALL-2395761;reactomeM:R-ALL-2473604;reactomeM:R-ALL-2473607;reactomeM:R-ALL-2473610;reactomeM:R-ALL-2473615;reactomeM:R-ALL-2473616;reactomeM:R-ALL-2473617;reactomeM:R-ALL-30209;reactomeM:R-ALL-5623649;reactomeM:R-ALL-975590;reactomeM:R-ALL-975599;seed.compound:cpd00365;seedM:M_cpd00365;seedM:cpd00365;slm:000000511
MNXM1102095	9-cis-retinol	M_retinol_9_cis_c;M_retinol_9_cis_e	C20H30O	286.4516	0	chebi:78272;CHEBI:78272;bigg.metabolite:retinol_9_cis;biggM:M_retinol_9_cis;biggM:retinol_9_cis;kegg.compound:C16682;keggC:C16682;keggC:M_C16682;lipidmaps:LMPR01090009;lipidmapsM:LMPR01090009;sabiork.compound:23162;sabiorkM:23162
MNXM1102104	7-Tetradecenoyl Coenzyme A	M_tetd7ecoa_m	C35H56N7O17P3S	971.843403	-4	biggM:tetd7ecoa;bigg.metabolite:tetd7ecoa;biggM:M_tetd7ecoa
MNXM1102110	3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA	M_CE4820_x	C45H66N7O18P3S	1118.029203	-4	biggM:CE4820;bigg.metabolite:CE4820;biggM:M_CE4820
MNXM1102112	3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA	M_CE4845_c	C43H66N7O18P3S	1094.007803	-4	biggM:CE4845;bigg.metabolite:CE4845;biggM:M_CE4845
MNXM1102114	3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	M_CE4851_c	C45H68N7O18P3S	1120.045083	-4	biggM:CE4851;bigg.metabolite:CE4851;biggM:M_CE4851
MNXM1102116	3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	M_CE4834_c	C45H68N7O18P3S	1120.045083	-4	biggM:CE4834;bigg.metabolite:CE4834;biggM:M_CE4834
MNXM1102128	UDP	M_udp_c;M_udp_e;M_udp_g;M_udp_l;M_udp_n;M_udp_r	C9H11N2O12P2	401.137442	-3	biggM:udp;bigg.metabolite:udp;biggM:M_udp
MNXM1102135	5 Diphosphoinositol pentakisphosphate	M_ppmi12346p_c;M_ppmi12346p_n	C6H6O27P7	726.911967	-13	biggM:ppmi12346p;bigg.metabolite:ppmi12346p;biggM:M_ppmi12346p
MNXM1102137	Dopamine-4-O-Glucuronide	M_dopa4glcur_c;M_dopa4glcur_e	C14H19NO8	329.3026	0	biggM:dopa4glcur;bigg.metabolite:dopa4glcur;biggM:M_dopa4glcur
MNXM1102139	3-hydroxytetracosanoyl-CoA(4-)	M_CE2249_c;M_CE2249_x	C45H78N7O18P3S	1130.124483	-4	biggM:CE2249;bigg.metabolite:CE2249;biggM:M_CE2249
MNXM1102141	D-Glucose 1,6-Bisphosphate	M_M01966_c;M_M01966_e	C6H10O12P2	336.083922	-4	biggM:M01966;bigg.metabolite:M01966;biggM:M_M01966
MNXM1102150	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate	M_mlthf_c;M_mlthf_e;M_mlthf_m	C20H21N7O6	455.42432	-2	chebi:15636;CHEBI:15636;CHEBI:1989;bigg.metabolite:mlthf;biggM:M_mlthf;biggM:mlthf;chebi:10925;chebi:18602;chebi:1989;hmdb:HMDB0001533;hmdb:HMDB0002365;hmdb:HMDB01533;hmdb:HMDB02365;kegg.compound:C00143;kegg.drug:D11447;keggC:C00143;keggC:M_C00143;keggD:D11447;keggD:M_D11447;metacyc.compound:METHYLENE-THF;metacycM:METHYLENE-THF;seed.compound:cpd00125;seedM:M_cpd00125;seedM:cpd00125
MNXM1102167	S-Adenosyl-L-homocysteine	M_ahcys_c;M_ahcys_e;M_ahcys_m;M_ahcys_r	C14H20N6O5S	384.41204	0	biggM:ahcys;bigg.metabolite:ahcys;biggM:M_ahcys
MNXM1102169	Nicotinate D-ribonucleoside	M_nicrns_c	C11H13NO6	255.22406	0	biggM:nicrns;bigg.metabolite:nicrns;biggM:M_nicrns
MNXM1102183	9-beta-D-xylofuranosyladenine	M_adn_c;M_adn_e;M_adn_l;M_adn_m	C10H13N5O4	267.24152	0	chebi:46515;CHEBI:46515;bigg.metabolite:adn;biggM:M_adn;biggM:adn
MNXM1102189	3 UMP	M_3ump_e	C9H11N2O9P	322.165481	-2	biggM:3ump;bigg.metabolite:3ump;biggM:M_3ump
MNXM1102191	CDP	M_cdp_c;M_cdp_e;M_cdp_m;M_cdp_n	C9H12N3O11P2	400.152722	-3	biggM:cdp;bigg.metabolite:cdp;biggM:M_cdp
MNXM1102376	(6S)-10-formyltetrahydrofolate	M_10fthf_c;M_10fthf_e;M_10fthf_l;M_10fthf_m	C20H21N7O7	471.42372	-2	chebi:57454;CHEBI:15637;CHEBI:57454;bigg.metabolite:10fthf;biggM:10fthf;biggM:M_10fthf;chebi:11304;chebi:15637;chebi:19108;chebi:19109;chebi:698;hmdb:HMDB0000972;hmdb:HMDB00972;kegg.compound:C00234;keggC:C00234;keggC:M_C00234;metacyc.compound:10-FORMYL-THF;metacycM:10-FORMYL-THF;reactome:R-ALL-419151;reactome:R-ALL-5389850;reactomeM:R-ALL-419151;reactomeM:R-ALL-5389850;seed.compound:cpd00201;seedM:M_cpd00201;seedM:cpd00201
MNXM1102417	Flavin adenine dinucleotide reduced	M_fadh2_c;M_fadh2_m;M_fadh2_r;M_fadh2_x	C27H33N9O15P2	785.550102	-2	biggM:fadh2;CHEBI:17499;bigg.metabolite:fadh2;biggM:M_fadh2;chebi:13233;chebi:15018;chebi:17499;chebi:8785
MNXM1102440	D-mannopyranuronic acid	M_glcur_c;M_glcur_e;M_glcur_l;M_glcur_r	C6H9O7	193.13146	-1	chebi:79047;CHEBI:79047;bigg.metabolite:glcur;biggM:M_glcur;biggM:glcur;kegg.compound:C02024;keggC:C02024;keggC:M_C02024;metacyc.compound:D-Mannopyranuronate;metacycM:D-Mannopyranuronate;seed.compound:cpd01384;seedM:M_cpd01384;seedM:cpd01384
MNXM1102522	(R)-carnitine	M_crn_c;M_crn_e;M_crn_m;M_crn_r;M_crn_x	C7H15NO3	161.19894	0	chebi:16347;CHEBI:16347;CHEBI:39547;bigg.metabolite:crn;biggM:M_crn;biggM:crn;chebi:13091;chebi:21256;chebi:39547;chebi:6202;hmdb:HMDB0000062;hmdb:HMDB0001467;hmdb:HMDB00062;hmdb:HMDB0062496;hmdb:HMDB0062634;hmdb:HMDB01467;hmdb:HMDB62496;hmdb:HMDB62634;kegg.compound:C00318;kegg.drug:D02176;keggC:C00318;keggC:M_C00318;keggD:D02176;keggD:M_D02176;metacyc.compound:CARNITINE;metacycM:CARNITINE;sabiork.compound:1328;sabiorkM:1328;seed.compound:cpd00266;seedM:M_cpd00266;seedM:cpd00266
MNXM1102546	2-cis,6-trans,10-trans-geranylgeranyl diphosphate	M_ttc_ggdp_c	C20H33O7P2	447.419342	-3	chebi:62639;CHEBI:10698;CHEBI:62639;bigg.metabolite:CE5956;bigg.metabolite:ttc_ggdp;biggM:CE5956;biggM:M_CE5956;biggM:M_ttc_ggdp;biggM:ttc_ggdp;chebi:10698;hmdb:HMDB0060108;hmdb:HMDB60108;kegg.compound:C11356;keggC:C11356;keggC:M_C11356;lipidmaps:LMPR0104010003;lipidmapsM:LMPR0104010003;metacyc.compound:CPD0-1028;metacycM:CPD0-1028;seed.compound:cpd08211;seedM:M_cpd08211;seedM:cpd08211
MNXM1102730	Galactosylglycerol	M_HC01444_e	C9H18O8	254.23442	0	biggM:HC01444;bigg.metabolite:HC01444;biggM:M_HC01444
MNXM1102761	5beta-cholestane-3alpha,7alpha,12alpha,24S,25-pentol	M_CE1273_c;M_CE1273_e	C27H48O5	452.66702	0	biggM:CE1273;bigg.metabolite:CE1273;bigg.metabolite:CE1279;biggM:CE1279;biggM:M_CE1273;biggM:M_CE1279
MNXM1102789	P coumaroyl CoA	M_coucoa_c;M_coucoa_m	C30H38N7O18P3S	909.646383	-4	biggM:coucoa;bigg.metabolite:coucoa;biggM:M_coucoa
MNXM1102866	Mesaconyl-CoA	M_mescoa_m	C26H35N7O19P3S	874.579163	-5	biggM:mescoa;bigg.metabolite:mescoa;biggM:M_mescoa
MNXM1102961	1D-myo-Inositol 3,4-bisphosphate	M_mi34p_c	C6H10O12P2	336.083922	-4	biggM:mi34p;bigg.metabolite:mi34p;biggM:M_mi34p
MNXM1103046	CDPcholine	M_cdpchol_c;M_cdpchol_r	C14H25N4O11P2	487.316182	-1	biggM:cdpchol;bigg.metabolite:cdpchol;biggM:M_cdpchol
MNXM1103086	Adenosine 5'-phosphosulfate	M_aps_c	C10H12N5O10PS	425.269741	-2	biggM:aps;bigg.metabolite:aps;biggM:M_aps
MNXM1103104	Uridine	M_uri_c;M_uri_e;M_uri_l;M_uri_n	C9H12N2O6	244.20146	0	biggM:uri;bigg.metabolite:uri;biggM:M_uri
MNXM1103205	Alpha-D-Ribose 1-phosphate	M_r1p_c	C5H9O8P	228.093921	-2	biggM:r1p;bigg.metabolite:r1p;biggM:M_r1p
MNXM1103285	GDP	M_gdp_c;M_gdp_e;M_gdp_g;M_gdp_m;M_gdp_n	C10H12N5O11P2	440.176902	-3	biggM:gdp;bigg.metabolite:gdp;biggM:M_gdp
MNXM1103300	Deamino-NAD+	M_dnad_c;M_dnad_n	C21H24N6O15P2	662.394222	-2	biggM:dnad;bigg.metabolite:dnad;biggM:M_dnad
MNXM1103302	CMP	M_cmp_c;M_cmp_e;M_cmp_g;M_cmp_l;M_cmp_m;M_cmp_n;M_cmp_r	C9H12N3O8P	321.180761	-2	biggM:cmp;bigg.metabolite:cmp;biggM:M_cmp
MNXM1103309	Trans-2,3-Dehydropristanoyl Coenzyme A	M_CE2038_x	C40H66N7O17P3S	1041.976303	-4	biggM:CE2038;bigg.metabolite:CE2038;biggM:M_CE2038;hmdb:HMDB0062535;hmdb:HMDB62535
MNXM1103315	(S)-3-Hydroxyoctadecanoyl-CoA	M_3hodcoa_c;M_3hodcoa_m	C39H66N7O18P3S	1045.965003	-4	biggM:3hodcoa;bigg.metabolite:3hodcoa;biggM:M_3hodcoa
MNXM1103325	S-Adenosylmethioninamine	M_ametam_c;M_ametam_e	C14H24N6O3S	356.445	2	biggM:ametam;bigg.metabolite:ametam;biggM:M_ametam
MNXM1103335	Inosine	M_ins_c;M_ins_e	C10H12N4O5	268.22624	0	biggM:ins;bigg.metabolite:ins;biggM:M_ins
MNXM1103337	Prostaglandin D2	M_prostgd2_c;M_prostgd2_e;M_prostgd2_r	C20H31O5	351.45714	-1	biggM:prostgd2;bigg.metabolite:prostgd2;biggM:M_prostgd2;lipidmaps:LMFA03110099;lipidmapsM:LMFA03110099
MNXM1103345	farnesyl diphosphate	M_frdp_c;M_frdp_r;M_frdp_x	C15H25O7P2	379.302322	-3	chebi:50277;CHEBI:50277;bigg.metabolite:frdp;biggM:M_frdp;biggM:frdp;chebi:14231;chebi:24016;reactome:R-ALL-2530486;reactomeM:R-ALL-2530486;sabiork.compound:5095;sabiorkM:5095
MNXM1103346	N-acetyl-D-galactosamine 1-phosphate	M_acgam1p_c	C8H14NO9P	299.171861	-2	chebi:55404;CHEBI:55404;bigg.metabolite:acgam1p;biggM:M_acgam1p;biggM:acgam1p;hmdb:HMDB0006480;hmdb:HMDB06480
MNXM1103347	N-acetyl-alpha-D-glucosamine 1-phosphate	M_acgal1p_c	C8H14NO9P	299.171861	-2	chebi:57776;CHEBI:138007;CHEBI:16446;CHEBI:57776;CHEBI:7125;CHEBI:81474;bigg.metabolite:acgal1p;biggM:M_acgal1p;biggM:acgal1p;chebi:12443;chebi:12542;chebi:138007;chebi:16446;chebi:21573;chebi:42925;chebi:7125;chebi:7163;chebi:81474;hmdb:HMDB0001367;hmdb:HMDB01367;kegg.compound:C04256;kegg.compound:C04501;kegg.compound:C18055;keggC:C04256;keggC:C04501;keggC:C18055;keggC:M_C04256;keggC:M_C04501;keggC:M_C18055;metacyc.compound:N-ACETYL-D-GLUCOSAMINE-1-P;metacyc.compound:N-acetyl-a-D-hexosamine-1-phosphates;metacycM:N-ACETYL-D-GLUCOSAMINE-1-P;metacycM:N-acetyl-a-D-hexosamine-1-phosphates;reactome:R-ALL-532204;reactomeM:R-ALL-532204;sabiork.compound:1818;sabiorkM:1818;seed.compound:cpd18038;seed.compound:cpd19031;seed.compound:cpd27612;seedM:M_cpd18038;seedM:M_cpd19031;seedM:M_cpd27612;seedM:cpd18038;seedM:cpd19031;seedM:cpd27612
MNXM1103358	CE(22:2(13Z,16Z))	M_M01461_r	C49H84O2	705.19006	0	chebi:88774;CHEBI:88774;bigg.metabolite:M01461;biggM:M01461;biggM:M_M01461;hmdb:HMDB0006737;hmdb:HMDB06737
MNXM1103365	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	M_aicar_c;M_aicar_e	C9H13N4O8P	336.195441	-2	biggM:aicar;bigg.metabolite:aicar;biggM:M_aicar
MNXM1103369	3-oxodocosanoyl-CoA(4-)	M_CE2250_c;M_CE2250_e;M_CE2250_m;M_CE2250_x	C43H72N7O18P3S	1100.055443	-4	biggM:CE2250;bigg.metabolite:CE2250;biggM:M_CE2250
MNXM1103371	3-oxotetracosanoyl-CoA	M_CE2253_c;M_CE2253_x	C45H76N7O18P3S	1128.108603	-4	biggM:CE2253;bigg.metabolite:CE2253;biggM:M_CE2253
MNXM1103395	5Beta-Cholestan-7Alpha,12Alpha,27-Triol-3-One	M_M01082_c	C27H46O4	434.65174	0	biggM:M01082;bigg.metabolite:M01082;biggM:M_M01082
MNXM1103400	Guanosine	M_gsn_c;M_gsn_e;M_gsn_l	C10H13N5O5	283.24092	0	biggM:gsn;bigg.metabolite:gsn;biggM:M_gsn
MNXM1103415	5-Methylthio-5-deoxy-D-ribose 1-phosphate	M_5mdr1p_c	C6H11O7PS	258.187101	-2	biggM:5mdr1p;bigg.metabolite:5mdr1p;biggM:M_5mdr1p
MNXM1103418	NLc5Cer	M_acglcgal14acglcgalgluside_hs_c;M_acglcgal14acglcgalgluside_hs_g	C51H89N2O28*	1178.24904	0	biggM:acglcgal14acglcgalgluside_hs;bigg.metabolite:acglcgal14acglcgalgluside_hs;biggM:M_acglcgal14acglcgalgluside_hs
MNXM1103428	ITP	M_itp_c;M_itp_e;M_itp_n	C10H11N4O14P3	504.134183	-4	biggM:itp;bigg.metabolite:itp;biggM:M_itp
MNXM1103441	3-Keto-beta-D-galactose	M_HC01440_e	C6H10O6	178.14	0	biggM:HC01440;bigg.metabolite:HC01440;biggM:M_HC01440
MNXM1103443	Acetyl adenylate	M_HC01672_c	C12H15N5O8P	388.250161	-1	biggM:HC01672;bigg.metabolite:HC01672;biggM:M_HC01672
MNXM1103447	3-methyl-2-oxovalerate	M_3mop_c;M_3mop_e;M_3mop_m	C6H9O3	129.13386	-1	chebi:28654;CHEBI:28654;CHEBI:35932;bigg.metabolite:3mop;biggM:3mop;biggM:M_3mop;chebi:1585;chebi:20116;chebi:35932;hmdb:HMDB0000491;hmdb:HMDB0001962;hmdb:HMDB0002254;hmdb:HMDB0003736;hmdb:HMDB0004750;hmdb:HMDB00491;hmdb:HMDB01962;hmdb:HMDB02254;hmdb:HMDB03736;hmdb:HMDB04750;kegg.compound:C03465;keggC:C03465;keggC:M_C03465;reactome:R-ALL-113576;reactome:R-ALL-70721;reactomeM:R-ALL-113576;reactomeM:R-ALL-70721;sabiork.compound:6645;sabiorkM:6645;seed.compound:cpd19026;seedM:M_cpd19026;seedM:cpd19026
MNXM1103450	beta-D-tagatofuranose	M_fru_c;M_fru_e	C6H12O6	180.15588	0	chebi:49089;CHEBI:49089;bigg.metabolite:fru;biggM:M_fru;biggM:fru
MNXM1103456	CDPethanolamine	M_cdpea_c;M_cdpea_e	C11H19N4O11P2	445.236442	-1	biggM:cdpea;bigg.metabolite:cdpea;biggM:M_cdpea
MNXM1103458	Adenosine 3',5'-bisphosphate	M_pap_c;M_pap_g;M_pap_r	C10H11N5O10P2	423.169562	-4	biggM:pap;bigg.metabolite:pap;biggM:M_pap
MNXM1103473	Cholest-5-En-3Beta-Yl (4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoate)	M_M01466_r	C49H76O2	697.12654	0	biggM:M01466;bigg.metabolite:M01466;biggM:M_M01466;hmdb:HMDB0006733;hmdb:HMDB06733
MNXM1103476	gamma-L-glutamyl-D-alanine	M_gluala_e	C8H13N2O5	217.1993	-1	chebi:57915;CHEBI:16834;CHEBI:57915;bigg.metabolite:gluala;biggM:M_gluala;biggM:gluala;chebi:10569;chebi:12399;chebi:16834;chebi:18582;kegg.compound:C03738;keggC:C03738;keggC:M_C03738;metacyc.compound:CPD-407;metacycM:CPD-407;seed.compound:cpd02343;seedM:M_cpd02343;seedM:cpd02343
MNXM1103528	D-talopyranose	M_man_c;M_man_e;M_man_l	C6H12O6	180.15588	0	chebi:68462;CHEBI:68462;bigg.metabolite:man;biggM:M_man;biggM:man;kegg.compound:C06467;keggC:C06467;keggC:M_C06467;metacyc.compound:D-talopyranoses;metacycM:D-talopyranoses;sabiork.compound:1492;sabiorkM:1492;seed.compound:cpd03883;seedM:M_cpd03883;seedM:cpd03883
MNXM1103529	Sphinganine 1 phosphate	M_sph1p_c;M_sph1p_e;M_sph1p_n;M_sph1p_r	C18H39NO5P	380.479761	-1	biggM:sph1p;bigg.metabolite:sph1p;biggM:M_sph1p
